date,season,neutral,playoff,team1,team2,elo1,elo2,elo_prob1,score1,score2,result1
12/29/2013,2013,0,0,ATL,CAR,1439.956,1634.119,0.322234461,20,21,0
12/29/2013,2013,0,0,CHI,GB,1511.561,1481.911,0.632939742,28,33,0
12/29/2013,2013,0,0,CIN,BAL,1612.144,1560.753,0.661503261,34,17,1
12/29/2013,2013,0,0,IND,JAX,1561.593,1295.991,0.870241767,30,10,1
12/29/2013,2013,0,0,ARI,SF,1586.16,1689.491,0.445059981,20,23,0
12/29/2013,2013,0,0,DAL,PHI,1511.451,1538.642,0.554197749,22,24,0
12/29/2013,2013,0,0,LAC,KC,1546.276,1516.7,0.63284077,27,24,1
12/29/2013,2013,0,0,SEA,LAR,1691.489,1527.909,0.788484131,27,9,1
12/29/2013,2013,0,0,OAK,DEN,1311.551,1679.102,0.14910683,14,34,0
12/29/2013,2013,0,0,PIT,CLE,1545.104,1341.041,0.824747738,20,7,1
12/29/2013,2013,0,0,TEN,HOU,1437.669,1334.76,0.724433682,16,10,1
12/29/2013,2013,0,0,NYG,WSH,1476.942,1359.693,0.740603877,20,6,1
12/29/2013,2013,0,0,NO,TB,1598.005,1412.955,0.808362264,42,17,1
1/4/2014,2013,0,1,IND,KC,1568.462,1506.94,0.674436319,45,44,1
1/4/2014,2013,0,1,PHI,NO,1551.032,1609.218,0.509804877,24,26,0
1/5/2014,2013,0,1,GB,SF,1505.612,1701.619,0.319920557,20,23,0
1/5/2014,2013,0,1,CIN,LAC,1630.728,1556.036,0.690857617,10,27,0
1/11/2014,2013,0,1,NE,IND,1688.645,1572.73,0.739125919,43,22,1
1/11/2014,2013,0,1,SEA,NO,1702.773,1620.454,0.700155056,23,15,1
1/12/2014,2013,0,1,CAR,SF,1638.339,1709.991,0.490428172,10,23,0
1/12/2014,2013,0,1,DEN,LAC,1687.083,1598.681,0.707454456,24,17,1
1/19/2014,2013,0,1,DEN,NE,1698.457,1703.547,0.58537294,26,16,1
1/19/2014,2013,0,1,SEA,SF,1715.123,1735.798,0.563444965,23,17,1
2/2/2014,2013,1,1,DEN,SEA,1717.814,1731.777,0.479916439,8,43,0
